Mapping Category,Mapping Value,Taxonomy Code
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Outros financiamentos - (CORRENTE),53
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Outros financiamentos - (NÃO CORRENTE),54
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Outros financiadores - (CORRENTE),55
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Financiamentos obtidos - Outros financiadores - (NÃO CORRENTE),56
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Quotas não liberadas,57
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Adiantamentos por conta de lucros,58
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Resultados atribuídos,59
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Lucros disponíveis,60
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Outras operações - (CORRENTE),61
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Outras operações - (NÃO CORRENTE),62
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Perdas por imparidade acumuladas - Quotas não liberadas,63
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Perdas por imparidade acumuladas - Adiantamentos por conta de lucros,64
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Perdas por imparidade acumuladas - Resultados atribuídos,65
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Perdas por imparidade acumuladas - Lucros disponíveis,66
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Perdas por imparidade acumuladas - Outras operações (CORRENTE),67
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Acionistas/sócios - Perdas por imparidade acumuladas - Outras operações (NÃO CORRENTE),68
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Fornecedores de investimentos - Fornecedores de investimentos — contas gerais - (CORRENTE),69
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Fornecedores de investimentos - Fornecedores de investimentos — contas gerais - (NÃO CORRENTE),70
