Mapping Category,Mapping Value,Standard Account ID,Account Description,Mapping Key
NO-SAFT: 4 Digit Standard Accounts,71,1325,Lån til andre foretak i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,72,1330,Investeringer i tilknyttet selskap,
NO-SAFT: 4 Digit Standard Accounts,73,1340,Lån til tilknyttet selskap,
NO-SAFT: 4 Digit Standard Accounts,74,1345,Lån til felles kontrollert virksomhet,
NO-SAFT: 4 Digit Standard Accounts,75,1350,"Andre aksjer, norske",
NO-SAFT: 4 Digit Standard Accounts,76,1355,"Andre andeler, norske",
NO-SAFT: 4 Digit Standard Accounts,77,1356,"Andre aksjer/andeler, utenlandske, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,78,1357,"Andre aksjer/andeler, utenlandske, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,79,1358,Verdipapirfondsandeler,
NO-SAFT: 4 Digit Standard Accounts,80,1360,Obligasjoner,
NO-SAFT: 4 Digit Standard Accounts,81,1370,Fordringer på eiere,
NO-SAFT: 4 Digit Standard Accounts,82,1375,Fordringer på styremedlemmer,
NO-SAFT: 4 Digit Standard Accounts,83,1380,Fordringer på ansatte,
NO-SAFT: 4 Digit Standard Accounts,84,1384,Fordringer på daglig leder,
NO-SAFT: 4 Digit Standard Accounts,85,1385,Fordringer på ansatte eiere,
NO-SAFT: 4 Digit Standard Accounts,86,1393,Innskuddsfond,
NO-SAFT: 4 Digit Standard Accounts,87,1394,Overfinansiering av pensjonsforpliktelser (pensjonspremiefond),
NO-SAFT: 4 Digit Standard Accounts,88,1395,Leietakerinnskudd,
NO-SAFT: 4 Digit Standard Accounts,89,1396,Depositum,
NO-SAFT: 4 Digit Standard Accounts,90,1397,Forskuddsleasing,
NO-SAFT: 4 Digit Standard Accounts,91,1398,Til gode merverdiavgift,
NO-SAFT: 4 Digit Standard Accounts,92,1399,Andre fordringer,
NO-SAFT: 4 Digit Standard Accounts,93,1400,Direkte materialer/råvarer,
NO-SAFT: 4 Digit Standard Accounts,94,1405,Hjelpematerialer,
NO-SAFT: 4 Digit Standard Accounts,95,1408,Driftsmaterialer og reservedeler,
NO-SAFT: 4 Digit Standard Accounts,96,1409,Beholdningsendring råvarer og innkjøpte halvfabrikater,
NO-SAFT: 4 Digit Standard Accounts,97,1420,Varer under tilvirkning,
NO-SAFT: 4 Digit Standard Accounts,98,1429,Beholdningsendring varer under tilvirkning,
NO-SAFT: 4 Digit Standard Accounts,99,1440,Ferdige egentilvirkede varer,
NO-SAFT: 4 Digit Standard Accounts,100,1449,Beholdningsendring ferdige egentilvirkede varer,
NO-SAFT: 4 Digit Standard Accounts,101,1460,Innkjøpte varer for videresalg,
NO-SAFT: 4 Digit Standard Accounts,102,1465,Demonstrasjonsvarer,
NO-SAFT: 4 Digit Standard Accounts,103,1469,Beholdningsendring innkjøpte varer for videresalg,
NO-SAFT: 4 Digit Standard Accounts,104,1470,"Grunnlag MVA innførsel av varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,105,1471,"Grunnlag MVA innførsel av varer, høy sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,106,1472,"Grunnlag MVA innførsel av varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,107,1473,"Grunnlag MVA innførsel av varer, middels sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,108,1474,Grunnlag innførsel av varer med null sats,
NO-SAFT: 4 Digit Standard Accounts,109,1475,"Grunnlag innførsel av varer med  null sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,110,1476,Grunnlag utgående MVA kjøp tjenester fra utlandet,
NO-SAFT: 4 Digit Standard Accounts,111,1477,"Grunnlag utgående MVA kjøp tjenester fra utlandet, motkonto",
NO-SAFT: 4 Digit Standard Accounts,112,1478,"Innenlands kjøp av varer og tjenester, omvendt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,113,1479,"Innenlands kjøp av varer og tjenester, omvendt avgiftsplikt, motkonto",
NO-SAFT: 4 Digit Standard Accounts,114,1480,Forskuddsbetaling til leverandører (varekontrakter/prosjekter),
NO-SAFT: 4 Digit Standard Accounts,115,1490,Biologiske eiendeler,
NO-SAFT: 4 Digit Standard Accounts,116,1500,Kundefordringer,
NO-SAFT: 4 Digit Standard Accounts,117,1530,"Opptjent, ikke fakturert driftsinntekt",
NO-SAFT: 4 Digit Standard Accounts,118,1550,Kundefordringer på selskap i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,119,1560,Andre fordringer på selskap i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,120,1570,Reiseforskudd,
NO-SAFT: 4 Digit Standard Accounts,121,1572,Lønnsforskudd (som trekkes i lønn senere),
NO-SAFT: 4 Digit Standard Accounts,122,1573,Andre kortsiktige lån til ansatte (ikke forskudd lønn),
NO-SAFT: 4 Digit Standard Accounts,123,1574,Kortsiktig lån aksjonær/deltaker,
NO-SAFT: 4 Digit Standard Accounts,124,1575,Mellomregning aksjonær/deltaker,
NO-SAFT: 4 Digit Standard Accounts,125,1576,Kortsiktig lån daglig leder,
NO-SAFT: 4 Digit Standard Accounts,126,1579,Andre kortsiktige fordringer,
NO-SAFT: 4 Digit Standard Accounts,127,1580,Avsetning tap på kundefordringer,
NO-SAFT: 4 Digit Standard Accounts,128,1585,Avsetning tap på andre fordringer,
NO-SAFT: 4 Digit Standard Accounts,129,1590,Andre omløpsmidler,
NO-SAFT: 4 Digit Standard Accounts,130,1600,"Utgående merverdiavgift, høy sats",
NO-SAFT: 4 Digit Standard Accounts,131,1601,"Utgående merverdiavgift, middels sats",
NO-SAFT: 4 Digit Standard Accounts,132,1602,"Utgående merverdiavgift, middels sats",
NO-SAFT: 4 Digit Standard Accounts,133,1603,"Utgående merverdiavgift, lav sats",
NO-SAFT: 4 Digit Standard Accounts,134,1604,Utgående merverdiavgift kjøp tjenester fra utlandet,
NO-SAFT: 4 Digit Standard Accounts,135,1605,"Utgående merverdiavgift - innførsel av varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,136,1606,"Utgående merverdiavgift - innførsel av varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,137,1607,"Utgående merverdiavgift - innenlands kjøp av varer og tjenester med omvendt avgiftsplikt, høy sats",
NO-SAFT: 4 Digit Standard Accounts,138,1610,"Inngående merverdiavgift, høy sats",
NO-SAFT: 4 Digit Standard Accounts,139,1611,"Inngående merverdiavgift, middels sats",
NO-SAFT: 4 Digit Standard Accounts,140,1612,"Inngående merverdiavgift, middels sats, råfisk mv",
NO-SAFT: 4 Digit Standard Accounts,141,1613,"Inngående merverdiavgift, lav sats",
NO-SAFT: 4 Digit Standard Accounts,142,1614,Inngående merverdiavgift kjøp tjenester fra utlandet,
NO-SAFT: 4 Digit Standard Accounts,143,1615,"Inngående merverdiavgift - innførsel av varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,144,1616,"Inngående merverdiavgift - innførsel av varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,145,1617,"Inngående merverdiavgift - innenlands kjøp av varer og tjenester med omvendt avgiftsplikt, høy sats",
NO-SAFT: 4 Digit Standard Accounts,146,1640,Oppgjørskonto merverdiavgift,
NO-SAFT: 4 Digit Standard Accounts,147,1650,"Merverdiavgiftskompensasjon, høy sats",
NO-SAFT: 4 Digit Standard Accounts,148,1651,"Merverdiavgiftskompensasjon, middels sats",
NO-SAFT: 4 Digit Standard Accounts,149,1652,"Merverdiavgiftskompensasjon, lav sats",
NO-SAFT: 4 Digit Standard Accounts,150,1654,Oppgjørskonto kompensert merverdiavgift,
NO-SAFT: 4 Digit Standard Accounts,151,1655,"Grunnlag merverdiavgiftskompensasjon, høy sats",
NO-SAFT: 4 Digit Standard Accounts,152,1656,"Grunnlag merverdiavgiftskompensasjon, middels sats",
NO-SAFT: 4 Digit Standard Accounts,153,1657,"Grunnlag merverdiavgiftskompensasjon, lav sats",
NO-SAFT: 4 Digit Standard Accounts,154,1659,Motkonto grunnlag merverdiavgiftskompensasjon,
NO-SAFT: 4 Digit Standard Accounts,155,1670,Krav på offentlige tilskudd,
NO-SAFT: 4 Digit Standard Accounts,156,1675,"Skattefunn til gode, ikke fastsatt",
NO-SAFT: 4 Digit Standard Accounts,157,1700,Forskuddsbetalt leiekostnad,
NO-SAFT: 4 Digit Standard Accounts,158,1710,Forskuddsbetalt rentekostnad,
NO-SAFT: 4 Digit Standard Accounts,159,1740,"Forskuddsbetalt, ikke påløpt lønn",
NO-SAFT: 4 Digit Standard Accounts,160,1742,"Forskuddsbetalt strøm, varme mv.",
