Mapping Category,Mapping Value,Standard Account ID,Account Description,Mapping Key
NO-SAFT: 4 Digit Standard Accounts,302,2980,Avsetning styrehonorar,
NO-SAFT: 4 Digit Standard Accounts,303,2982,Avsetning revisjonshonorar,
NO-SAFT: 4 Digit Standard Accounts,304,2983,Avsetning regnskapshonorar,
NO-SAFT: 4 Digit Standard Accounts,305,2989,Avsetning for andre forpliktelser,
NO-SAFT: 4 Digit Standard Accounts,306,2990,Gjeld til andre personer enn ansatte og eiere,
NO-SAFT: 4 Digit Standard Accounts,307,2999,Annen kortsiktig gjeld,
NO-SAFT: 4 Digit Standard Accounts,308,3000,"Salgsinntekt handelsvarer, avgiftspliktig, høy sats",
NO-SAFT: 4 Digit Standard Accounts,309,3005,"Salgsinntekt handelsvarer, omvendt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,310,3009,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,311,3010,"Salgsinntekt egentilvirkede varer, avgiftspliktig, høy sats",
NO-SAFT: 4 Digit Standard Accounts,312,3015,"Salgsinntekt egentilvirkede varer, omvendt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,313,3019,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,314,3020,"Salgsinntekt tjenester, avgiftspliktig, høy sats",
NO-SAFT: 4 Digit Standard Accounts,315,3025,"Salgsinntekt tjenester, omvendt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,316,3029,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,317,3030,"Salgsinntekt handelsvarer, avgiftspliktig, middels sats",
NO-SAFT: 4 Digit Standard Accounts,318,3039,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,319,3040,"Salgsinntekt egentilvirkede varer, avgiftspliktig, middels sats",
NO-SAFT: 4 Digit Standard Accounts,320,3049,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,321,3050,"Salgsinntekt tjenester, avgiftspliktig, lav sats",
NO-SAFT: 4 Digit Standard Accounts,322,3059,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,323,3060,"Uttak av varer, avgiftspliktig, høy sats",
NO-SAFT: 4 Digit Standard Accounts,324,3063,"Uttak av varer, avgiftspliktig, middels sats",
NO-SAFT: 4 Digit Standard Accounts,325,3070,"Uttak av tjenester, avgiftspliktig, høy sats",
NO-SAFT: 4 Digit Standard Accounts,326,3074,"Uttak av tjenester, avgiftspliktig, lav sats",
NO-SAFT: 4 Digit Standard Accounts,327,3081,"Kontantrabatt, avgiftspliktig salg, høy sats",
NO-SAFT: 4 Digit Standard Accounts,328,3082,"Kontantrabatt, avgiftspliktig salg, middel sats",
NO-SAFT: 4 Digit Standard Accounts,329,3083,"Kontantrabatt, avgiftspliktig salg, lav sats",
NO-SAFT: 4 Digit Standard Accounts,330,3084,"Kvantumsrabatt, avgiftspliktig salg, høy sats",
NO-SAFT: 4 Digit Standard Accounts,331,3085,"Kvantumsrabatt, avgiftspliktig salg, middels sats",
NO-SAFT: 4 Digit Standard Accounts,332,3086,"Kvantumsrabatt, avgiftspliktig salg, lav sats",
NO-SAFT: 4 Digit Standard Accounts,333,3087,"Annen salgsinntektsreduksjon, avgiftspliktig salg, høy sats",
NO-SAFT: 4 Digit Standard Accounts,334,3088,"Annen salgsinntektsreduksjon, avgiftspliktig salg, middels sats",
NO-SAFT: 4 Digit Standard Accounts,335,3089,"Annen salgsinntektsreduksjon, avgiftspliktig salg, lav sats",
NO-SAFT: 4 Digit Standard Accounts,336,3090,"Viderefakturering av omkostninger ved salg, høy sats",
NO-SAFT: 4 Digit Standard Accounts,337,3091,"Viderefakturering av omkostninger ved salg, middels sats",
NO-SAFT: 4 Digit Standard Accounts,338,3092,"Viderefakturering av omkostninger ved salg, lav sats",
NO-SAFT: 4 Digit Standard Accounts,339,3100,"Salgsinntekt handelsvarer, innenlands, avgiftsfri",
NO-SAFT: 4 Digit Standard Accounts,340,3105,"Salgsinntekt handelsvarer, utførsel, avgiftsfri",
NO-SAFT: 4 Digit Standard Accounts,341,3109,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,342,3110,"Salgsinntekt egentilvirkede varer, innenlands, avgiftsfri",
NO-SAFT: 4 Digit Standard Accounts,343,3115,"Salgsinntekt egentilvirkede varer, utførsel, avgiftsfri",
NO-SAFT: 4 Digit Standard Accounts,344,3119,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,345,3120,"Salgsinntekt tjenester, innenlands, avgiftsfri",
NO-SAFT: 4 Digit Standard Accounts,346,3125,"Salgsinntekt tjenester, utførsel, avgiftsfri",
NO-SAFT: 4 Digit Standard Accounts,347,3129,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,348,3160,"Uttak av varer, avgiftsfritt",
NO-SAFT: 4 Digit Standard Accounts,349,3170,"Uttak av tjenester, avgiftsfritt",
NO-SAFT: 4 Digit Standard Accounts,350,3181,"Kontantrabatt, innenlands, avgiftsfritt",
NO-SAFT: 4 Digit Standard Accounts,351,3182,"Kontantrabatt, utførsel, avgiftsfritt",
NO-SAFT: 4 Digit Standard Accounts,352,3185,"Kvantumsrabatt, innenlands, avgiftsfritt",
NO-SAFT: 4 Digit Standard Accounts,353,3186,"Kvantumsrabatt, utførsel, avgiftsfritt",
NO-SAFT: 4 Digit Standard Accounts,354,3188,"Annen salgsinntektsreduksjon, innenlands, avgiftsfritt",
NO-SAFT: 4 Digit Standard Accounts,355,3189,"Annen salgsinntektsreduksjon, utførsel, avgiftsfritt",
NO-SAFT: 4 Digit Standard Accounts,356,3190,"Viderefakturering av omkostninger ved salg, innenlands, avgiftsfritt",
NO-SAFT: 4 Digit Standard Accounts,357,3191,"Viderefakturering av omkostninger ved salg, utførsel, avgiftsfritt",
NO-SAFT: 4 Digit Standard Accounts,358,3200,"Salgsinntekt handelsvarer, unntatt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,359,3209,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,360,3210,"Salgsinntekt egentilvirkede varer, unntatt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,361,3219,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,362,3220,"Salgsinntekt tjenester, unntatt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,363,3229,"Opptjent, ikke fakturert inntekt",
NO-SAFT: 4 Digit Standard Accounts,364,3260,"Uttak av varer, unntatt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,365,3281,"Kontantrabatt, unntatt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,366,3285,"Kvantumsrabatt, unntatt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,367,3289,"Annen salgsinntektsreduksjon, unntatt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,368,3290,"Viderefakturering av omkostninger ved salg, unntatt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,369,3300,Spesiell offentlig avgift for tilvirkede/solgte varer,
NO-SAFT: 4 Digit Standard Accounts,370,3400,Spesielt offentlig tilskudd for tilvirkede/solgte varer,
NO-SAFT: 4 Digit Standard Accounts,371,3440,Spesielt offentlig tilskudd for tjeneste,
NO-SAFT: 4 Digit Standard Accounts,372,3500,Garanti,
NO-SAFT: 4 Digit Standard Accounts,373,3510,Service,
NO-SAFT: 4 Digit Standard Accounts,374,3600,"Leieinntekt fast eiendom, unntatt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,375,3605,"Leieinntekt fast eiendom, avgiftspliktig",
NO-SAFT: 4 Digit Standard Accounts,376,3609,"Opptjent, ikke fakturert leieinntekt",
NO-SAFT: 4 Digit Standard Accounts,377,3610,"Leieinntekt andre varige driftsmidler, avgiftspliktig",
NO-SAFT: 4 Digit Standard Accounts,378,3615,"Leieinntekt andre varige driftsmidler, avgiftsfri",
NO-SAFT: 4 Digit Standard Accounts,379,3619,"Opptjent, ikke fakturert leieinntekt",
NO-SAFT: 4 Digit Standard Accounts,380,3620,Annen leieinntekt,
NO-SAFT: 4 Digit Standard Accounts,381,3700,"Provisjonsinntekt, avgiftspliktig",
NO-SAFT: 4 Digit Standard Accounts,382,3705,"Provisjonsinntekt, avgiftsfri",
NO-SAFT: 4 Digit Standard Accounts,383,3709,"Opptjent, ikke fakturert provisjonsinntekt",
NO-SAFT: 4 Digit Standard Accounts,384,3850,Verdiendringer investeringseiendommer,
NO-SAFT: 4 Digit Standard Accounts,385,3870,Verdiendringer biologiske eiendeler,
NO-SAFT: 4 Digit Standard Accounts,386,3881,"Salgssum immatr. eiendeler og varige driftsmidler, avgiftspliktig salg",
NO-SAFT: 4 Digit Standard Accounts,387,3882,"Salgssum immatr. eiendeler og varige driftsmidler, avgiftsfritt salg",
NO-SAFT: 4 Digit Standard Accounts,388,3889,Motkonto balanseverdi solgte immatr. eiendeler og varige driftsmidler,
NO-SAFT: 4 Digit Standard Accounts,389,3891,Salgssum finansielle anleggsmidler,
NO-SAFT: 4 Digit Standard Accounts,390,3899,Motkonto balanseverdi finansielle anleggsmidler,
NO-SAFT: 4 Digit Standard Accounts,391,3900,Annen driftsrelatert inntekt,
NO-SAFT: 4 Digit Standard Accounts,392,4000,"Innkjøp av råvarer og halvfabrikata, høy sats",
NO-SAFT: 4 Digit Standard Accounts,393,4030,"Innkjøp av råvarer og halvfabrikata, middels sats",
NO-SAFT: 4 Digit Standard Accounts,394,4040,"Utenlandsk innkjøp av råvarer og halvfabrikata, høy sats",
NO-SAFT: 4 Digit Standard Accounts,395,4041,"Utenlandsk innkjøp av råvarer og halvfabrikata, middels sats",
NO-SAFT: 4 Digit Standard Accounts,396,4042,"Utenlandsk innkjøp av råvarer og halvfabrikata, fritatt for avgift",
NO-SAFT: 4 Digit Standard Accounts,397,4060,"Frakt, toll og spedisjon",
NO-SAFT: 4 Digit Standard Accounts,398,4071,"Kontantrabatt, råvarer og halvfabrikata, høy sats",
NO-SAFT: 4 Digit Standard Accounts,399,4072,"Kontantrabatt, råvarer og halvfabrikata, middels sats",
NO-SAFT: 4 Digit Standard Accounts,400,4075,"Kvantumsrabatt, råvarer og halvfabrikata, høy sats",
NO-SAFT: 4 Digit Standard Accounts,401,4076,"Kvantumsrabatt, råvarer og halvfabrikata, middels sats",
NO-SAFT: 4 Digit Standard Accounts,402,4078,"Annen innkjøpsprisreduksjon, høy sats",
NO-SAFT: 4 Digit Standard Accounts,403,4079,"Annen innkjøpsprisreduksjon, middels sats",
NO-SAFT: 4 Digit Standard Accounts,404,4080,"Grunnlag MVA innførsel av varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,405,4081,"Grunnlag MVA innførsel av varer, høy sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,406,4082,"Grunnlag MVA innførsel av varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,407,4083,"Grunnlag MVA innførsel av varer, middels sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,408,4084,Grunnlag innførsel av varer med null sats,
NO-SAFT: 4 Digit Standard Accounts,409,4085,"Grunnlag innførsel av varer med  null sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,410,4086,"Innenlands kjøp av varer, omvendt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,411,4087,"Innenlands kjøp av varer, omvendt avgiftsplikt, motkonto",
NO-SAFT: 4 Digit Standard Accounts,412,4090,Beholdningsendring,
NO-SAFT: 4 Digit Standard Accounts,413,4100,"Innkjøp varer under tilvirkning, høy sats",
NO-SAFT: 4 Digit Standard Accounts,414,4130,"Innkjøp varer under tilvirkning, middels sats",
NO-SAFT: 4 Digit Standard Accounts,415,4160,"Frakt, toll og spedisjon",
NO-SAFT: 4 Digit Standard Accounts,416,4171,"Kontantrabatt, varer under tilvirkning, høy sats",
NO-SAFT: 4 Digit Standard Accounts,417,4172,"Kontantrabatt, varer under tilvirkning, middels sats",
NO-SAFT: 4 Digit Standard Accounts,418,4175,"Kvantumsrabatt, varer under tilvirkning, høy sats",
NO-SAFT: 4 Digit Standard Accounts,419,4176,"Kvantumsrabatt, varer under tilvirkning, middels sats",
NO-SAFT: 4 Digit Standard Accounts,420,4178,"Annen innkjøpsprisreduksjon, varer under tilvirkning, høy sats",
NO-SAFT: 4 Digit Standard Accounts,421,4179,"Annen innkjøpsprisreduksjon, varer under tilvirkning, middels sats",
NO-SAFT: 4 Digit Standard Accounts,422,4190,Beholdningsendring,
NO-SAFT: 4 Digit Standard Accounts,423,4200,"Innkjøp ferdig egentilvirkede varer, høy ssats",
NO-SAFT: 4 Digit Standard Accounts,424,4230,"Innkjøp ferdig egentilvirkede varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,425,4260,"Frakt, toll og spedisjon",
NO-SAFT: 4 Digit Standard Accounts,426,4270,"Innkjøpsprisreduksjon, egentilvirkede varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,427,4271,"Innkjøpsprisreduksjon, egentilvirkede varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,428,4290,Beholdningsendring,
NO-SAFT: 4 Digit Standard Accounts,429,4300,"Innkjøp av varer for videresalg, høy sats",
NO-SAFT: 4 Digit Standard Accounts,430,4330,"Innkjøp av varer for videresalg, middels sats",
NO-SAFT: 4 Digit Standard Accounts,431,4340,"Utenlands innkjøp av varer for videresalg, høy sats",
NO-SAFT: 4 Digit Standard Accounts,432,4341,"Utenlands innkjøp av varer for videresalg, middels sats",
NO-SAFT: 4 Digit Standard Accounts,433,4342,"Utenlands innkjøp av varer for videresalg, fritatt for avgift",
NO-SAFT: 4 Digit Standard Accounts,434,4360,"Frakt, toll og spedisjon",
NO-SAFT: 4 Digit Standard Accounts,435,4371,"Kontantrabatt, varer for videresalg, høy sats",
NO-SAFT: 4 Digit Standard Accounts,436,4372,"Kontantrabatt, varer for videresalg, middels sats",
NO-SAFT: 4 Digit Standard Accounts,437,4375,"Kvantumsrabatt, varer for videresalg, høy sats",
NO-SAFT: 4 Digit Standard Accounts,438,4376,"Kvantumsrabatt, varer for videresalg, middels sats",
NO-SAFT: 4 Digit Standard Accounts,439,4378,"Annen innkjøpsprisreduksjon, høy sats",
NO-SAFT: 4 Digit Standard Accounts,440,4379,"Annen innkjøpsprisreduksjon, middels sats",
NO-SAFT: 4 Digit Standard Accounts,441,4380,"Grunnlag MVA innførsel av varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,442,4381,"Grunnlag MVA innførsel av varer, høy sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,443,4382,"Grunnlag MVA innførsel av varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,444,4383,"Grunnlag MVA innførsel av varer, middels sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,445,4384,Grunnlag innførsel av varer med nullsats,
NO-SAFT: 4 Digit Standard Accounts,446,4385,"Grunnlag innførsel av varer med nullsats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,447,4386,"Innenlands kjøp av varer, omvendt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,448,4387,"Innenlands kjøp av varer, omvendt avgiftsplikt, motkonto",
NO-SAFT: 4 Digit Standard Accounts,449,4390,Beholdningsendring,
NO-SAFT: 4 Digit Standard Accounts,450,4500,Fremmedytelse og underentreprise,
NO-SAFT: 4 Digit Standard Accounts,451,4550,"Fremmedytelse og underentreprise, opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,452,4590,Beholdningsendring,
NO-SAFT: 4 Digit Standard Accounts,453,4600,Emballasjematerialer,
NO-SAFT: 4 Digit Standard Accounts,454,4690,Beholdningsendring,
NO-SAFT: 4 Digit Standard Accounts,455,4900,Annen periodisering,
NO-SAFT: 4 Digit Standard Accounts,456,4990,"Beholdningsendring, egentilvirkede anleggsmidler",
NO-SAFT: 4 Digit Standard Accounts,457,5000,Lønn til ansatte,
NO-SAFT: 4 Digit Standard Accounts,458,5005,Avtalte tariffgodtgjørelser,
NO-SAFT: 4 Digit Standard Accounts,459,5090,"Påløpt, ikke utbetalt lønn",
NO-SAFT: 4 Digit Standard Accounts,460,5092,Feriepenger,
NO-SAFT: 4 Digit Standard Accounts,461,5099,Andre lønnsposteringer,
NO-SAFT: 4 Digit Standard Accounts,462,5200,Fri bil,
NO-SAFT: 4 Digit Standard Accounts,463,5210,Fri telefon,
NO-SAFT: 4 Digit Standard Accounts,464,5220,Fri avis,
NO-SAFT: 4 Digit Standard Accounts,465,5230,Fri kost,
NO-SAFT: 4 Digit Standard Accounts,466,5235,Fri losji,
NO-SAFT: 4 Digit Standard Accounts,467,5236,Fri bolig,
NO-SAFT: 4 Digit Standard Accounts,468,5240,Rentefordel,
NO-SAFT: 4 Digit Standard Accounts,469,5250,Gruppelivsforsikring,
NO-SAFT: 4 Digit Standard Accounts,470,5252,Ulykkesforsikring,
NO-SAFT: 4 Digit Standard Accounts,471,5253,Personavbruddsforsikring,
NO-SAFT: 4 Digit Standard Accounts,472,5254,"Yrkesskadeforsikring, skattepliktig del",
NO-SAFT: 4 Digit Standard Accounts,473,5255,"Tilskudd og premie til pensjonsordning, arbeidsgiveravgiftspliktig",
NO-SAFT: 4 Digit Standard Accounts,474,5280,Annen fordel i arbeidsforhold,
NO-SAFT: 4 Digit Standard Accounts,475,5290,Motkonto for gruppe 52,
NO-SAFT: 4 Digit Standard Accounts,476,5330,Godtgjørelse til styremedlemmer,
NO-SAFT: 4 Digit Standard Accounts,477,5335,Godtgjørelse til medlemmer av bedriftsforsamlingen,
NO-SAFT: 4 Digit Standard Accounts,478,5390,Annen opplysningspliktig godtgjørelse,
NO-SAFT: 4 Digit Standard Accounts,479,5400,Arbeidsgiveravgift,
NO-SAFT: 4 Digit Standard Accounts,480,5404,Påløpt arbeidsgiveravgift påløpt lønn,
NO-SAFT: 4 Digit Standard Accounts,481,5405,Arbeidsgiveravgift av påløpte feriepenger,
NO-SAFT: 4 Digit Standard Accounts,482,5406,Påløpt arbeidsgiveravgift av påløpte andre honorarer,
NO-SAFT: 4 Digit Standard Accounts,483,5420,Innberetningspliktig pensjonskostnad utbetalt over drift,
NO-SAFT: 4 Digit Standard Accounts,484,5430,Finansskatt av lønn,
NO-SAFT: 4 Digit Standard Accounts,485,5431,Finansskatt av påløpte feriepenger,
NO-SAFT: 4 Digit Standard Accounts,486,5434,Påløpt finansskatt påløpt lønn,
NO-SAFT: 4 Digit Standard Accounts,487,5435,Påløpt finansskatt påløpte feriepenger,
NO-SAFT: 4 Digit Standard Accounts,488,5436,Påløpt finansskatt påløpte andre honorarer,
NO-SAFT: 4 Digit Standard Accounts,489,5500,Annen kostnadsgodtgjørelse,
NO-SAFT: 4 Digit Standard Accounts,490,5600,Arbeidsgodtgjørelse til eiere i DLS,
NO-SAFT: 4 Digit Standard Accounts,491,5700,Lærlingtilskudd,
NO-SAFT: 4 Digit Standard Accounts,492,5750,Annet lønnstilskudd,
NO-SAFT: 4 Digit Standard Accounts,493,5800,Refusjon av sykepenger,
NO-SAFT: 4 Digit Standard Accounts,494,5820,Refusjon av arbeidsgiveravgift,
NO-SAFT: 4 Digit Standard Accounts,495,5830,Refusjon arbeidsmarkedstiltak,
NO-SAFT: 4 Digit Standard Accounts,496,5890,Annen refusjon,
NO-SAFT: 4 Digit Standard Accounts,497,5899,Motkonto for gruppe 58,
NO-SAFT: 4 Digit Standard Accounts,498,5900,"Gaver til ansatte, fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,499,5905,"Gaver til ansatte, ikke fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,500,5910,Kantinekostnad,
NO-SAFT: 4 Digit Standard Accounts,501,5915,Overtidsmat,
NO-SAFT: 4 Digit Standard Accounts,502,5919,Trekk kantinekostnader ansatte,
NO-SAFT: 4 Digit Standard Accounts,503,5920,Yrkesskadeforsikring,
NO-SAFT: 4 Digit Standard Accounts,504,5930,Annen ikke arbeidsgiveravgiftspliktig forsikring,
NO-SAFT: 4 Digit Standard Accounts,505,5941,LO/NHO-ordningen (O&U + sluttvederlag),
NO-SAFT: 4 Digit Standard Accounts,506,5942,LO/NHO-ordningen (AFP),
NO-SAFT: 4 Digit Standard Accounts,507,5950,Obligatorisk tjenestepensjon (OTP),
NO-SAFT: 4 Digit Standard Accounts,508,5990,Annen personalkostnad,
NO-SAFT: 4 Digit Standard Accounts,509,5999,Motkonto for gruppe 59,
NO-SAFT: 4 Digit Standard Accounts,510,6000,Avskrivning på bygninger og annen fast eiendom,
NO-SAFT: 4 Digit Standard Accounts,511,6010,Avskrivning på transportmidler,
NO-SAFT: 4 Digit Standard Accounts,512,6015,Avskrivning på maskiner,
NO-SAFT: 4 Digit Standard Accounts,513,6017,Avskrivning på inventar,
NO-SAFT: 4 Digit Standard Accounts,514,6020,Avskrivning på ervervet goodwill,
NO-SAFT: 4 Digit Standard Accounts,515,6029,Avskrivning på andre immaterielle eiendeler,
NO-SAFT: 4 Digit Standard Accounts,516,6050,Nedskrivning av varige driftsmidler,
NO-SAFT: 4 Digit Standard Accounts,517,6055,Nedskrivning av immaterielle eiendeler,
NO-SAFT: 4 Digit Standard Accounts,518,6059,Reversering av nedskrivning varige driftsmidler og immaterielle eiendeler,
NO-SAFT: 4 Digit Standard Accounts,519,6100,"Frakt, transportkostnad og forsikring ved vareforsendelse",
NO-SAFT: 4 Digit Standard Accounts,520,6110,Toll og spedisjonskostnad ved vareforsendelse,
NO-SAFT: 4 Digit Standard Accounts,521,6190,Annen frakt- og transportkostnad ved salg,
NO-SAFT: 4 Digit Standard Accounts,522,6200,Elektrisitet,
NO-SAFT: 4 Digit Standard Accounts,523,6210,Gass,
NO-SAFT: 4 Digit Standard Accounts,524,6220,Fyringsolje,
NO-SAFT: 4 Digit Standard Accounts,525,6230,"Kull, koks",
NO-SAFT: 4 Digit Standard Accounts,526,6240,Ved,
NO-SAFT: 4 Digit Standard Accounts,527,6250,"Bensin, dieselolje",
NO-SAFT: 4 Digit Standard Accounts,528,6260,Vann,
NO-SAFT: 4 Digit Standard Accounts,529,6290,Annet brensel,
NO-SAFT: 4 Digit Standard Accounts,530,6300,Leie lokale,
NO-SAFT: 4 Digit Standard Accounts,531,6320,"Renovasjon, vann, avløp o.l.",
NO-SAFT: 4 Digit Standard Accounts,532,6340,Lys,
NO-SAFT: 4 Digit Standard Accounts,533,6345,Varme,
NO-SAFT: 4 Digit Standard Accounts,534,6360,Renhold,
NO-SAFT: 4 Digit Standard Accounts,535,6391,Felles-/administrasjonskostnad senterforening,
NO-SAFT: 4 Digit Standard Accounts,536,6399,Annen kostnad lokaler,
NO-SAFT: 4 Digit Standard Accounts,537,6400,Leie maskiner,
NO-SAFT: 4 Digit Standard Accounts,538,6410,Leie inventar,
NO-SAFT: 4 Digit Standard Accounts,539,6420,Leie datasystemer,
NO-SAFT: 4 Digit Standard Accounts,540,6430,Leie andre kontormaskiner,
NO-SAFT: 4 Digit Standard Accounts,541,6440,Leie transportmidler,
NO-SAFT: 4 Digit Standard Accounts,542,6490,Annen leiekostnad,
NO-SAFT: 4 Digit Standard Accounts,543,6500,Motordrevet verktøy,
NO-SAFT: 4 Digit Standard Accounts,544,6510,Håndverktøy,
NO-SAFT: 4 Digit Standard Accounts,545,6520,Hjelpeverktøy,
NO-SAFT: 4 Digit Standard Accounts,546,6530,Spesialverktøy,
NO-SAFT: 4 Digit Standard Accounts,547,6540,Inventar,
NO-SAFT: 4 Digit Standard Accounts,548,6551,Datautstyr,
NO-SAFT: 4 Digit Standard Accounts,549,6552,Programvare anskaffelse,
NO-SAFT: 4 Digit Standard Accounts,550,6553,Programvare årlig vedlikehold,
NO-SAFT: 4 Digit Standard Accounts,551,6560,Rekvisita,
NO-SAFT: 4 Digit Standard Accounts,552,6570,"Arbeidsklær, opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,553,6571,"Arbeidsklær, ikke opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,554,6575,Verneutstyr,
NO-SAFT: 4 Digit Standard Accounts,555,6590,Annet driftsmateriale,
NO-SAFT: 4 Digit Standard Accounts,556,6600,Reparasjon og vedlikehold bygninger,
NO-SAFT: 4 Digit Standard Accounts,557,6620,Reparasjon og vedlikehold utstyr,
NO-SAFT: 4 Digit Standard Accounts,558,6690,Reparasjon og vedlikehold annet,
NO-SAFT: 4 Digit Standard Accounts,559,6700,Revisjonshonorar,
NO-SAFT: 4 Digit Standard Accounts,560,6702,Honorar annen bistand fra revisor,
NO-SAFT: 4 Digit Standard Accounts,561,6705,Regnskapshonorar,
NO-SAFT: 4 Digit Standard Accounts,562,6706,Honorarer annen bistand fra regnskapsfører,
NO-SAFT: 4 Digit Standard Accounts,563,6720,Honorar for annen økonomisk rådgivning,
NO-SAFT: 4 Digit Standard Accounts,564,6725,"Honorar for juridisk bistand, fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,565,6726,"Honorar for juridisk bistand, ikke fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,566,6750,Honorar for databistand,
NO-SAFT: 4 Digit Standard Accounts,567,6790,"Annen fremmed tjeneste, opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,568,6795,"Annen fremmed tjeneste, ikke opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,569,6800,Kontorrekvisita,
NO-SAFT: 4 Digit Standard Accounts,570,6820,Trykksak,
NO-SAFT: 4 Digit Standard Accounts,571,6840,"Aviser, tidsskrifter, bøker o.l.",
NO-SAFT: 4 Digit Standard Accounts,572,6860,"Møte, kurs, oppdatering o.l.",
NO-SAFT: 4 Digit Standard Accounts,573,6890,Annen kontorkostnad,
NO-SAFT: 4 Digit Standard Accounts,574,6900,Telefon,
NO-SAFT: 4 Digit Standard Accounts,575,6903,Mobiltelefon,
NO-SAFT: 4 Digit Standard Accounts,576,6907,Datakommunikasjon,
NO-SAFT: 4 Digit Standard Accounts,577,6909,Annen telekommunikasjon,
NO-SAFT: 4 Digit Standard Accounts,578,6940,Porto,
NO-SAFT: 4 Digit Standard Accounts,579,7000,Drivstoff transportmiddel 1,
NO-SAFT: 4 Digit Standard Accounts,580,7020,Vedlikehold transportmiddel 1,
NO-SAFT: 4 Digit Standard Accounts,581,7040,Forsikring transportmiddel 1,
NO-SAFT: 4 Digit Standard Accounts,582,7090,Annen kostnad transportmiddel 1,
NO-SAFT: 4 Digit Standard Accounts,583,7100,"Bilgodtgjørelse, opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,584,7130,"Reisekostnad, opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,585,7140,"Reisekostnad, ikke opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,586,7150,"Diettkostnad, opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,587,7160,"Diettkostnad, ikke opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,588,7190,Verktøygodtgjørelse,
NO-SAFT: 4 Digit Standard Accounts,589,7195,Arbeidstøygodtgjørelse,
NO-SAFT: 4 Digit Standard Accounts,590,7199,Annen kostnadsgodtgjørelse,
NO-SAFT: 4 Digit Standard Accounts,591,7200,"Provisjonskostnad, opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,592,7210,"Provisjonskostnad, ikke opplysningspliktig",
NO-SAFT: 4 Digit Standard Accounts,593,7300,Salgskostnad,
NO-SAFT: 4 Digit Standard Accounts,594,7320,Reklameannonser,
NO-SAFT: 4 Digit Standard Accounts,595,7322,Reklameavis/-katalog mv.,
NO-SAFT: 4 Digit Standard Accounts,596,7323,Reklameartikler,
