Mapping Category,Mapping Value,Taxonomy Code
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Fornecedores — títulos a pagar - Fornecedores — empreendimentos conjuntos,47
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Fornecedores — títulos a pagar - Fornecedores — outras partes relacionadas,48
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Outros fornecedores,49
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Faturas em receção e conferência,50
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Adiantamentos a fornecedores,51
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Fornecedores - Perdas por imparidade acumuladas,52
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Remunerações a pagar - Aos órgãos sociais,53
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Remunerações a pagar - Ao pessoal,54
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Adiantamentos - Aos órgãos sociais,55
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Adiantamentos - Ao pessoal,56
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Cauções - Dos órgãos sociais - (CORRENTE),57
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Cauções - Dos órgãos sociais - (NÃO CORRENTE),58
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Cauções - Do pessoal - (CORRENTE),59
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Cauções - Do pessoal - (NÃO CORRENTE),60
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Outras operações - Com os órgãos sociais - (CORRENTE),61
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Outras operações - Com os órgãos sociais - (NÃO CORRENTE),62
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Outras operações - Com o pessoal - (CORRENTE),63
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Outras operações - Com o pessoal - (NÃO CORRENTE),64
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Perdas por imparidade acumuladas - Adiantamentos - Aos órgãos sociais,65
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Perdas por imparidade acumuladas - Adiantamentos - Ao pessoal,66
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Perdas por imparidade acumuladas - Outras operações - Aos órgãos sociais (CORRENTE),67
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Perdas por imparidade acumuladas - Outras operações - Aos órgãos sociais (NÃO CORRENTE),68
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Perdas por imparidade acumuladas - Outras operações - Ao pessoal (CORRENTE),69
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Pessoal - Perdas por imparidade acumuladas - Outras operações - Ao pessoal (NÃO CORRENTE),70
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Imposto sobre o rendimento,71
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Retenção de impostos sobre rendimentos,72
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Suportado,73
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Dedutível,74
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Liquidado,75
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Regularizações,76
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Apuramento,77
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — A pagar,78
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — A recuperar,79
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Reembolsos pedidos,80
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Liquidações oficiosas,81
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Outros impostos,82
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Contribuições para a Segurança Social,83
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Tributos das autarquias locais,84
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Estado e outros entes públicos - Outras tributações,85
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Empréstimos bancários - (CORRENTE),86
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Empréstimos bancários - (NÃO CORRENTE),87
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Descobertos bancários - (CORRENTE),88
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Descobertos bancários - (NÃO CORRENTE),89
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Locações financeiras - (CORRENTE),90
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Locações financeiras - (NÃO CORRENTE),91
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Outros financiamentos - (CORRENTE),92
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Instituições de crédito e sociedades financeiras - Outros financiamentos - (NÃO CORRENTE),93
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Mercado de valores mobiliários - Empréstimos por obrigações - (CORRENTE),94
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Mercado de valores mobiliários - Empréstimos por obrigações - (NÃO CORRENTE),95
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Mercado de valores mobiliários - Outros financiamentos - (CORRENTE),96
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Mercado de valores mobiliários - Outros financiamentos - (NÃO CORRENTE),97
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Participantes de capital - Empresa -mãe — Suprimentos e outros mútuos - (CORRENTE),98
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Participantes de capital - Empresa -mãe — Suprimentos e outros mútuos - (NÃO CORRENTE),99
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Participantes de capital - Outros participantes — Suprimentos e outros mútuos (CORRENTE),100
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Participantes de capital - Outros participantes — Suprimentos e outros mútuos - (NÃO CORRENTE),101
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Financiamentos obtidos - Subsidiárias, associadas e empreendimentos conjuntos - (CORRENTE)",102
